destination,formatted_address,country,latitude,longitude,google_geocode_place_id,forecast_start_date,forecast_end_date,forecast_days,avg_temp_c,min_daily_temp_c,peak_max_temp_c,avg_humidity_pct,avg_cloudiness_pct,avg_wind_speed_mps,max_wind_speed_mps,dominant_weather_description,restaurants_count,bars_count,nightclubs_count,hotels_count,attractions_count,amenity_score,nightlife_score,selected_flight_price,selected_flight_currency,selected_airline,selected_flight_stops,selected_flight_duration_minutes,selected_flight_data_status,selected_accommodation_type,selected_accommodation_name,selected_accommodation_nightly_price,selected_accommodation_total_price,selected_accommodation_rating,selected_accommodation_reviews,selected_accommodation_link,selected_accommodation_data_status,estimated_accommodation_cost,estimated_trip_cost,cost_data_status,weather_score,cost_score,score_without_cost,cost_score_for_model,final_recommendation_score
"Lisbon, Portugal","Lisbon, Portugal",Portugal,38.7222524,-9.1393366,ChIJO_PkYRozGQ0R0DaQ5L3rAAQ,2026-06-26,2026-07-01,6,23.0,18.0,32.5,63.7,25.9,3.8,8.1,clear sky,20,20,20,20,20,88.0,80.8,141.0,GBP,easyJet,0,170,flight available,hotel,Green View Home,20.0,142.0,4.1,47.0,https://www.thegreenviewhome.com/,accommodation available,142.0,283.0,flight and accommodation available,100,100.0,90.3,100.0,92.8
"Budapest, Hungary","Budapest, Hungary",Hungary,47.497912,19.040235,ChIJyc_U0TTDQUcRYBEeDCnEAAQ,2026-06-26,2026-07-01,6,31.0,19.1,40.9,36.3,31.2,2.2,6.0,clear sky,20,20,20,20,20,89.7,88.8,125.0,GBP,Ryanair,0,145,flight available,hotel,L1 City Centre Loft,31.0,215.0,2.85,67.0,https://www.booking.com/hotel/hu/l1-city-centre-loft.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-12491516&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-12491516_grp-0_gendate-20260615,accommodation available,215.0,340.0,flight and accommodation available,95,95.2,91.5,95.2,92.4
"Barcelona, Spain","Barcelona, Spain",Spain,41.3874374,2.1686496,ChIJ5TCOcRaYpBIRCmZHTz37sEQ,2026-06-26,2026-07-01,6,28.1,22.9,31.0,53.5,17.8,2.7,5.4,clear sky,20,20,20,20,20,87.6,80.7,81.0,GBP,Ryanair,0,130,flight available,hotel,Guest House Barcelona Bruc - Superior Double Room,34.0,238.0,3.8954268,164.0,https://www.bluepillow.com/search/65ca82af671b07d23c6daea3?dest=bkng&cat=&lat=41.39479&lng=2.16919&language=en,accommodation available,238.0,319.0,flight and accommodation available,100,97.0,90.1,97.0,91.9
"Istanbul, Türkiye","Istanbul, İstanbul, Türkiye",Türkiye,41.0082376,28.9783589,ChIJawhoAASnyhQR0LABvJj-zOE,2026-06-26,2026-07-01,6,26.1,21.7,31.0,61.2,0.1,5.4,8.7,clear sky,20,20,20,20,20,89.2,84.2,247.0,GBP,Wizz Air,0,245,flight available,hotel,THE XANADU HOTEL,20.0,143.0,3.4,376.0,https://www.booking.com/hotel/tr/modern-compact-studio-near-metro-station.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-15698449&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-15698449_grp-1_gendate-20260615,accommodation available,143.0,390.0,flight and accommodation available,100,91.1,91.8,91.1,91.7
"Rome, Italy","Rome, Metropolitan City of Rome Capital, Italy",Italy,41.8967068,12.4822025,ChIJu46S-ZZhLxMROG5lkwZ3D7k,2026-06-26,2026-07-01,6,29.9,22.9,38.9,47.8,23.6,2.6,7.2,clear sky,20,20,20,20,20,89.0,81.2,114.0,GBP,Wizz Air,0,155,flight available,hotel,Salotto Tiburtino rooms,34.0,237.0,4.1,22.0,https://www.salottotiburtino.it/,accommodation available,237.0,351.0,flight and accommodation available,100,94.3,90.7,94.3,91.7
"Marrakech, Morocco","Marrakesh, Morocco",Morocco,31.6225224,-7.989825799999999,ChIJUZ4Xlo3urw0RuK2HT1O2UFk,2026-06-26,2026-07-01,6,31.1,21.0,42.8,31.4,43.6,3.7,11.2,broken clouds,20,20,20,20,20,84.6,88.4,146.0,GBP,Ryanair UK,0,220,flight available,rental,Suite 1,22.0,153.0,3.85,90.0,https://www.booking.com/hotel/ma/riad-sarsar-azbezt.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-14038012&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-14038012_grp-0_gendate-20260615,accommodation available,153.0,299.0,flight and accommodation available,90,98.7,88.1,98.7,90.7
"Paris, France","Paris, France",France,48.8575475,2.3513765,ChIJD7fiBh9u5kcRYJSMaMOCCwQ,2026-06-26,2026-07-01,6,26.2,17.8,37.7,44.3,42.9,3.0,5.0,clear sky,20,20,20,20,20,86.9,83.1,89.0,GBP,easyJet,0,80,flight available,hotel,Comfort Hotel Paris Porte d'Ivry,47.0,326.0,3.6,2831.0,https://www.choicehotels.com/france/ivry-sur-seine/comfort-inn-hotels/fr532?mc=llgobeeu&pmf=bleu,accommodation available,326.0,415.0,flight and accommodation available,100,89.0,90.8,89.0,90.4
"Dubai, United Arab Emirates",Dubai - United Arab Emirates,United Arab Emirates,25.2048493,55.2707828,ChIJRcbZaklDXz4RYlEphFBu5r0,2026-06-26,2026-07-01,6,32.4,28.4,36.4,64.2,2.8,3.2,7.5,clear sky,20,20,20,20,20,90.4,89.1,595.0,GBP,Gulf Air,1,575,flight available,hotel,ibis Deira Creekside Dubai,21.0,148.0,4.7,12916.0,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=6481&merchantid=seo-maps-AE-6481&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,accommodation available,148.0,743.0,flight and accommodation available,100,61.6,93.8,61.6,85.8
"Hurghada, Egypt","Hurghada, Red Sea Governorate, Egypt",Egypt,27.2578957,33.8116067,ChIJs7s9zbKHUhQRYMPTi_kHuC0,2026-06-26,2026-07-01,6,31.8,26.8,35.0,31.5,0.0,7.6,11.5,clear sky,20,20,9,20,20,83.9,75.5,402.0,GBP,Pegasus,1,480,flight available,rental,Luxury apartment pool view,20.0,140.0,4.85,3.0,https://www.booking.com/hotel/eg/luxury-apartment-pool-view.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-15616537&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-15616537_grp-1_gendate-20260615,accommodation available,140.0,542.0,flight and accommodation available,100,78.4,87.4,78.4,85.3
"Abu Dhabi, United Arab Emirates",Abu Dhabi - United Arab Emirates,United Arab Emirates,24.453884,54.3773438,ChIJufI-cg9EXj4RCBGXQZMuzMc,2026-06-26,2026-07-01,6,32.4,30.9,34.3,65.0,2.1,3.4,7.6,clear sky,20,20,20,20,20,88.8,85.9,554.0,GBP,Qatar Airways,1,590,flight available,rental,Harmonic properties,30.0,210.0,2.5,6.0,https://www.booking.com/hotel/ae/harmonic-properties.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-14533039&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-14533039_grp-3_gendate-20260615,accommodation available,210.0,764.0,flight and accommodation available,100,59.8,92.3,59.8,84.2
