destination,place_type_searched,place_id,place_name,formatted_address,latitude,longitude,rating,user_rating_count,price_level,google_maps_url,types
"Bali, Indonesia",restaurant,ChIJhwAqoysh0i0R70f2yLfD06s,Secret Garden Village,"Jl. Raya Denpasar Bedugul No.Km. 36, Mekarsari, Kec. Baturiti, Kabupaten Tabanan, Bali 82191, Indonesia",-8.3726635,115.1932669,4.6,5569.0,,https://maps.google.com/?cid=12381454994689640431&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"tourist_attraction, cosmetics_store, cafe, wedding_venue, event_venue, restaurant, food, point_of_interest, store, service, establishment"
"Bali, Indonesia",restaurant,ChIJZ3ANg_0j0i0Rqm6Ryd9-pm8,Babi Guling Depot Betty,"Jl. Perean Tengah, Banjar Belah, Luwus, Kec. Baturiti, Kabupaten Tabanan, Bali 82191, Indonesia",-8.409488099999999,115.19734919999998,4.5,2226.0,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=8045257283968528042&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"indonesian_restaurant, restaurant, food, point_of_interest, establishment"
"Bali, Indonesia",restaurant,ChIJvdsLQd8l0i0RSkVbb-d_Jdk,Warung Uma Manis,"H5P9+H6, Biaung, Penebel, Tabanan Regency, Bali 82181, Indonesia",-8.413543899999999,115.1680111,4.1,182.0,,https://maps.google.com/?cid=15647053112351081802&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"indonesian_restaurant, restaurant, food, point_of_interest, establishment"
"Bali, Indonesia",restaurant,ChIJS-0MZtQg0i0R2iAtmBZJeQU,Cafe Tahu,"Km.37, Bedugul, Jl. Raya Denpasar, Mekarsari, Kec. Baturiti, Kabupaten Tabanan, Bali 82191, Indonesia",-8.365179099999999,115.1917814,4.4,1263.0,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=394426803762831578&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"restaurant, korean_restaurant, food, point_of_interest, establishment"
"Bali, Indonesia",restaurant,ChIJwaLiHY8j0i0RVrGYGFgr5uU,Warung Dedari,"Jl. Raya Denpasar, Perean Tengah, Kec. Baturiti, Kabupaten Tabanan, Bali 82181, Indonesia",-8.4366753,115.196727,4.5,1366.0,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=16565975936698724694&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"restaurant, food, point_of_interest, establishment"
"Bali, Indonesia",restaurant,ChIJ5cUeOiwh0i0RGicL7m7nN94,Babi Guling Depot Betty '2',"J5FV+PFQ, Jl. Mekarsari - Baturiti Bedugul, Mekarsari, Kec. Baturiti, Kabupaten Tabanan, Bali 82191, Indonesia",-8.3756713,115.19372449999999,4.4,370.0,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=16012521463765215002&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"indonesian_restaurant, restaurant, food, point_of_interest, establishment"
"Bali, Indonesia",restaurant,ChIJGQYpcUwn0i0RwE4_9ljpGbM,Famo Cafe Kayu Putih,"Jalan Subak, Tua, Kec. Marga, Kabupaten Tabanan, Bali 82181, Indonesia",-8.4069852,115.18686799999999,4.7,423.0,,https://maps.google.com/?cid=12905602775504604864&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"restaurant, coffee_shop, cafe, food_store, food, point_of_interest, store, establishment"
"Bali, Indonesia",restaurant,ChIJGZHU82Mj0i0RIQOhkZwNauk,Babi Guling Golden Baturiti,"Jl. Raya Denpasar-Singaraja, Perean Tengah, Kec. Baturiti, Kabupaten Tabanan, Bali 82191, Indonesia",-8.41489,115.19802829999999,4.4,250.0,,https://maps.google.com/?cid=16819270724477846305&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"indonesian_restaurant, restaurant, food, point_of_interest, establishment"
"Bali, Indonesia",restaurant,ChIJGyMEhdUg0i0RhIEy1ufBaa0,Babi Genyol Men Darta,"Jl. Mekarsari - Baturiti Bedugul No.5, Mekarsari, Kec. Baturiti, Kabupaten Tabanan, Bali 82191, Indonesia",-8.368528699999999,115.19241649999998,4.5,650.0,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=12495731842591392132&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"indonesian_restaurant, restaurant, food, point_of_interest, establishment"
"Bali, Indonesia",restaurant,ChIJ9b_x744j0i0REnYE2SnAfRQ,Warung Billy's D'Desa,"Jl. Raya Denpasar No.102, Perean Tengah, Kec. Baturiti, Kabupaten Tabanan, Bali 82191, Indonesia",-8.4361066,115.1970168,4.5,762.0,PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=1476547538814531090&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"restaurant, indonesian_restaurant, food, point_of_interest, establishment"
"Bali, Indonesia",restaurant,ChIJCzfzXEkh0i0RObVSFay-WEw,Babi Guling Men Janji,"J54W+V45, Jl. Mekarsari - Baturiti Bedugul, Mekarsari, Kec. Baturiti, Kabupaten Tabanan, Bali 82191, Indonesia",-8.3928742,115.1953697,4.4,878.0,PRICE_LEVEL_INEXPENSIVE,https://maps.google.com/?cid=5501356591134455097&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"indonesian_restaurant, restaurant, food, point_of_interest, establishment"
"Bali, Indonesia",restaurant,ChIJr7zYrDYh0i0RQRzIbsO7WXQ,Ayam Betutu Gilimanuk,"J5CV+JR7, Jalan Bedugul, Mekarsari, Kec. Baturiti, Kabupaten Tabanan, Bali 80191, Indonesia",-8.378451199999999,115.1945351,4.3,276.0,,https://maps.google.com/?cid=8383938629378513985&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"indonesian_restaurant, restaurant, food, point_of_interest, establishment"
"Bali, Indonesia",restaurant,ChIJI8li8Hwh0i0RFAm2Qm0WUaI,Wr. Bubble,"Jl. Mekarsari - Baturiti Bedugul, Mekarsari, Kec. Baturiti, Kabupaten Tabanan, Bali 82191, Indonesia",-8.3906704,115.19528369999999,4.4,498.0,,https://maps.google.com/?cid=11696154365784361236&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"restaurant, bar_and_grill, bar, food, point_of_interest, establishment"
