destination,selected_flight_price,selected_flight_currency,selected_airline,selected_flight_stops,selected_flight_duration_minutes,selected_flight_data_status,selected_accommodation_type,selected_accommodation_name,selected_accommodation_nightly_price,selected_accommodation_total_price,selected_accommodation_rating,selected_accommodation_reviews,selected_accommodation_link,selected_accommodation_data_status,estimated_accommodation_cost,estimated_trip_cost,cost_data_status
"Abu Dhabi, United Arab Emirates",554.0,GBP,Qatar Airways,1,590,flight available,rental,Harmonic properties,30.0,210.0,2.5,6.0,https://www.booking.com/hotel/ae/harmonic-properties.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-14533039&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-14533039_grp-3_gendate-20260615,accommodation available,210.0,764.0,flight and accommodation available
"Bali, Indonesia",718.0,GBP,China Eastern,1,1375,flight available,rental,Apartment Kayu Bunga,23.0,164.0,5.0,2.0,https://www.booking.com/hotel/id/apartment-kayu-bunga.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-6536902&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-6536902_grp-2_gendate-20260615,accommodation available,164.0,882.0,flight and accommodation available
"Bangkok, Thailand",642.0,GBP,China Eastern,1,1135,flight available,hotel,E11 Hotel,21.0,149.0,3.9,47.0,https://lin.ee/ksPvwHw,accommodation available,149.0,791.0,flight and accommodation available
"Barcelona, Spain",81.0,GBP,Ryanair,0,130,flight available,hotel,Guest House Barcelona Bruc - Superior Double Room,34.0,238.0,3.8954268,164.0,https://www.bluepillow.com/search/65ca82af671b07d23c6daea3?dest=bkng&cat=&lat=41.39479&lng=2.16919&language=en,accommodation available,238.0,319.0,flight and accommodation available
"Budapest, Hungary",125.0,GBP,Ryanair,0,145,flight available,hotel,L1 City Centre Loft,31.0,215.0,2.85,67.0,https://www.booking.com/hotel/hu/l1-city-centre-loft.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-12491516&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-12491516_grp-0_gendate-20260615,accommodation available,215.0,340.0,flight and accommodation available
"Cabo San Lucas, Mexico",1068.0,GBP,Icelandair,2,1689,flight available,rental,Cozy Loft in Cabo San Lucas ElRinconcitoCSL,30.0,210.0,5.0,2.0,https://www.booking.com/hotel/mx/cozy-loft-in-cabo-san-lucas-elrinconcitocsl.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-16234024&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-16234024_grp-0_gendate-20260615,accommodation available,210.0,1278.0,flight and accommodation available
"Crete, Greece",184.0,GBP,SWISS,1,515,flight available,rental,Explore city of Rethymno,22.0,156.0,4.8,16.0,https://www.expedia.com/Hotel.h117708483.Hotel-Information?mdpcid=META.HPA.WEB-ORGANIC.VR,accommodation available,156.0,340.0,flight and accommodation available
"Cusco, Peru",1339.0,GBP,Air Europa,2,1685,flight available,rental,Elegant brand new apartment in Cusco,20.0,142.0,4.0,625.0,https://www.booking.com/hotel/pe/mapacho-house.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-16212168&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-16212168_grp-0_gendate-20260615,accommodation available,142.0,1481.0,flight and accommodation available
"Dubai, United Arab Emirates",595.0,GBP,Gulf Air,1,575,flight available,hotel,ibis Deira Creekside Dubai,21.0,148.0,4.7,12916.0,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=6481&merchantid=seo-maps-AE-6481&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,accommodation available,148.0,743.0,flight and accommodation available
"Edinburgh, United Kingdom",35.0,GBP,Ryanair UK,0,80,flight available,hotel,Revolver Edinburgh,69.0,486.0,3.9,47.0,https://revolverhotel.co.uk/,accommodation available,486.0,521.0,flight and accommodation available
"Hanoi, Vietnam",716.0,GBP,China Southern,1,905,flight available,rental,MoonLight Tay Ho,20.0,142.0,4.5,344.0,http://www.hanoimayahotel.com/,accommodation available,142.0,858.0,flight and accommodation available
"Hurghada, Egypt",402.0,GBP,Pegasus,1,480,flight available,rental,Luxury apartment pool view,20.0,140.0,4.85,3.0,https://www.booking.com/hotel/eg/luxury-apartment-pool-view.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-15616537&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-15616537_grp-1_gendate-20260615,accommodation available,140.0,542.0,flight and accommodation available
"Istanbul, Türkiye",247.0,GBP,Wizz Air,0,245,flight available,hotel,THE XANADU HOTEL,20.0,143.0,3.4,376.0,https://www.booking.com/hotel/tr/modern-compact-studio-near-metro-station.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-15698449&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-15698449_grp-1_gendate-20260615,accommodation available,143.0,390.0,flight and accommodation available
"Kathmandu, Nepal",911.0,GBP,Air Arabia,1,1055,flight available,hotel,Oasis Kathmandu Hotel,23.0,158.0,4.8,1433.0,https://www.oasiskathmanduhotel.com/,accommodation available,158.0,1069.0,flight and accommodation available
"Lisbon, Portugal",141.0,GBP,easyJet,0,170,flight available,hotel,Green View Home,20.0,142.0,4.1,47.0,https://www.thegreenviewhome.com/,accommodation available,142.0,283.0,flight and accommodation available
"Maldives, Maldives",778.0,GBP,Qatar Airways,1,1200,flight available,rental,"Charming large studio style room with attached bathroom in Malé with WiFi, AC",25.0,174.0,4.7,40.0,https://www.bluewave.mv/,accommodation available,174.0,952.0,flight and accommodation available
"Marrakech, Morocco",146.0,GBP,Ryanair UK,0,220,flight available,rental,Suite 1,22.0,153.0,3.85,90.0,https://www.booking.com/hotel/ma/riad-sarsar-azbezt.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-14038012&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-14038012_grp-0_gendate-20260615,accommodation available,153.0,299.0,flight and accommodation available
"New Delhi, India",687.0,GBP,Lufthansa,1,625,flight available,hotel,"Hotel Grand Park Inn,Karol Bagh,New Delhi",20.0,140.0,4.6,4175.0,http://www.hotelgrandparkinn.com/,accommodation available,140.0,827.0,flight and accommodation available
"New York City, United States",481.0,GBP,Tap Air Portugal,1,2310,flight available,rental,Cozy Studio in Guesthouse Near Penn Station,74.0,517.0,2.75,2.0,https://www.booking.com/hotel/us/cozy-studio-in-guesthouse-near-penn-station.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-16305245&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-16305245_grp-1_gendate-20260615,accommodation available,517.0,998.0,flight and accommodation available
"Paris, France",89.0,GBP,easyJet,0,80,flight available,hotel,Comfort Hotel Paris Porte d'Ivry,47.0,326.0,3.6,2831.0,https://www.choicehotels.com/france/ivry-sur-seine/comfort-inn-hotels/fr532?mc=llgobeeu&pmf=bleu,accommodation available,326.0,415.0,flight and accommodation available
"Rome, Italy",114.0,GBP,Wizz Air,0,155,flight available,hotel,Salotto Tiburtino rooms,34.0,237.0,4.1,22.0,https://www.salottotiburtino.it/,accommodation available,237.0,351.0,flight and accommodation available
"Seoul, South Korea",673.0,GBP,China Southern,1,1125,flight available,hotel,샤인 호텔,24.0,171.0,3.3,71.0,https://miashine.modoo.at/,accommodation available,171.0,844.0,flight and accommodation available
"Siem Reap, Cambodia",839.0,GBP,SWISS,2,2540,flight available,rental,Sala Khmer - Traditional Wooden House & Garden,20.0,141.0,4.5,1.0,https://www.booking.com/hotel/kh/sala-khmer-traditional-wooden-house-amp-garden.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-14813927&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-14813927_grp-3_gendate-20260615,accommodation available,141.0,980.0,flight and accommodation available
"Tokyo, Japan",807.0,GBP,Air India,1,1430,flight available,hotel,LYURO Tokyo Kiyosumi by THE SHARE HOTEL,21.0,149.0,4.4,740.0,https://www.thesharehotels.com/lyuro/?utm_source=google&utm_medium=map,accommodation available,149.0,956.0,flight and accommodation available
