destination,forecast_date,daily_avg_temp_c,daily_min_temp_c,daily_max_temp_c,daily_avg_humidity_pct,daily_avg_cloudiness_pct,daily_avg_wind_speed_mps,daily_max_wind_speed_mps,most_common_description
"Bali, Indonesia",2026-06-26,20.915,20.78,21.17,96.5,100.0,0.59,0.7,overcast clouds
"Bali, Indonesia",2026-06-27,22.2275,20.18,26.07,89.875,95.0,1.34125,2.28,light rain
"Bali, Indonesia",2026-06-28,20.697499999999998,15.91,27.48,80.625,49.5,1.8312499999999998,3.28,broken clouds
"Bali, Indonesia",2026-06-29,20.07625,15.51,26.68,79.5,46.25,1.80625,3.14,broken clouds
"Bali, Indonesia",2026-06-30,20.689999999999998,16.86,27.15,75.625,39.875,1.58,2.59,broken clouds
"Bali, Indonesia",2026-07-01,21.11,15.74,26.87,69.16666666666667,39.5,1.865,2.94,few clouds
"Dubai, United Arab Emirates",2026-06-26,30.875,30.43,31.32,71.5,0.0,2.045,3.71,clear sky
"Dubai, United Arab Emirates",2026-06-27,31.9025,28.38,34.97,60.5,0.0,3.6225,7.23,clear sky
"Dubai, United Arab Emirates",2026-06-28,32.9525,31.19,35.68,64.0,0.0,3.8150000000000004,7.48,clear sky
"Dubai, United Arab Emirates",2026-06-29,33.00875,30.79,36.35,61.125,0.0,3.4725,6.29,clear sky
"Dubai, United Arab Emirates",2026-06-30,32.75875,30.85,34.83,63.75,1.625,2.8275,4.71,clear sky
"Dubai, United Arab Emirates",2026-07-01,32.663333333333334,30.64,34.07,64.16666666666667,15.333333333333334,3.24,5.27,clear sky
"Hanoi, Vietnam",2026-06-26,27.32,26.86,27.78,86.0,86.0,0.405,0.5,light rain
"Hanoi, Vietnam",2026-06-27,30.25625,27.13,33.52,69.5,96.75,1.83125,2.43,overcast clouds
"Hanoi, Vietnam",2026-06-28,28.2325,26.73,30.05,81.375,100.0,2.4025,3.18,overcast clouds
"Hanoi, Vietnam",2026-06-29,30.775,27.45,36.61,70.875,91.0,2.4625,4.39,light rain
"Hanoi, Vietnam",2026-06-30,29.11375,25.92,33.73,78.875,99.875,1.81,3.05,moderate rain
"Hanoi, Vietnam",2026-07-01,28.03833333333333,26.3,30.73,83.5,100.0,2.17,2.74,moderate rain
"Paris, France",2026-06-26,31.689999999999998,30.06,33.32,46.5,84.5,3.0900000000000003,4.57,light rain
"Paris, France",2026-06-27,28.25,19.45,37.66,44.625,64.75,2.72875,4.71,overcast clouds
"Paris, France",2026-06-28,26.64125,19.84,34.09,54.75,49.0,3.1875,4.95,scattered clouds
"Paris, France",2026-06-29,24.080000000000002,19.25,30.44,45.375,12.625,3.5287499999999996,4.88,clear sky
"Paris, France",2026-06-30,23.416249999999998,18.3,29.33,36.875,36.25,3.795,4.77,clear sky
"Paris, France",2026-07-01,23.301666666666666,17.76,30.32,37.5,10.5,1.9416666666666667,3.24,clear sky
"Rome, Italy",2026-06-26,29.595,28.27,30.92,59.5,33.0,1.99,2.73,few clouds
"Rome, Italy",2026-06-27,29.65,24.12,36.08,48.25,6.125,2.59625,5.6,clear sky
"Rome, Italy",2026-06-28,31.47375,24.9,38.86,39.0,0.75,3.08125,7.16,clear sky
"Rome, Italy",2026-06-29,31.06125,25.57,37.11,40.25,18.5,2.8,6.74,clear sky
